"","id","sexe","age_day","age_year","fratrie","canton_residence","formation_m","formation_p","habitat","filiere","liquide","loisirs","taches_domestiques","etudes","sommeil","distance","mobilite","pays","avion","frequence_facebook","frequence_twitter","frequence_instagram","frequence_snapchat","frequence_jodel","frequence_tiktok","reseau_facebook","reseau_instagram","opinion_algorithmes","opinion_queer","opinion_quotas","opinion_desobeissance","opinion_vols","opinion_logiciele","opinion_laffinite","opinion_crainte","opinion_comparison","opinion_questionnaire"
"63","FJ11",2,7000,19,2,1,3,2,1,1,48.05,30,5,16,8,0.174,3,13,2,4,4,4,1,5,5,300,624,2,1,3,4,4,3,3,2,2,4
"64","FL26",2,7155,19,3,8,3,2,0,4,75.3,30,25,33,45,0.28,1,2,0,4,5,2,4,5,5,114,877,2,4,3,2,3,4,2,4,3,4
"65","FM26",2,7923,21,2,2,2,2,1,1,13.85,10,5,19,49,46,3,15,4,4,5,4,2,5,4,1531,919,1,3,4,1,4,3,3,3,3,4
"66","FM26",2,8859,24,1,NA,4,1,0,4,100,20,7,30,42,0.89,1,6,18,4,5,4,4,5,5,635,388,1,4,2,2,3,2,1,3,3,2
"67","FV15",2,6891,19.5,1,9,5,5,0,4,1.6,45,7,26,42,12,3,15,5,4,1,4,1,5,5,909,438,2,2,4,NA,4,2,4,4,4,2
"68","FV28",2,7298,19,2,1,5,5,1,3,20.5,5,10,30,56,19.5,3,12,0,5,5,4,4,5,5,0,302,1,1,1,4,4,3,2,3,1,NA
"69","GA09",2,6807,18,2,1,5,5,1,4,0.25,14,2,20,56,1.12,1,12,0,5,5,4,4,5,5,0,332,2,1,4,1,3,3,1,2,2,2
"70","GD10",2,7537,20,0,8,4,3,1,4,69.5,50,5,38,49,2.4,3,60,3,4,5,1,5,5,5,1250,716,1,4,NA,2,1,3,4,4,2,2
"71","GI10",2,7593,20,0,1,2,4,1,1,24.2,40,4,16,60,12.83,3,14,8,5,4,2,1,5,5,0,279,3,1,3,3,4,2,2,4,2,4
"72","GJ16",1,7294,19,2,8,5,5,0,6,130,5,2,3,7,0.3,1,5,0,5,5,4,5,5,5,0,89,1,4,3,2,2,3,2,2,2,1
"73","GJ19",2,7169,19,3,3,5,NA,0,4,13.85,5,1.5,13,60,37,3,10,6,5,5,1,5,5,5,0,991,1,2,3,3,3,2,4,1,2,4
"74","GJ28",2,6872,19,3,2,2,5,0,4,35.2,10,15,20,49,0.735,3,13,4,4,5,4,1,5,5,680,438,2,2,2,4,4,2,3,3,2,3
"75","GM08",2,7111,19,2,3,5,4,1,4,10.5,20,3,47,55,52,3,9,2,4,5,3,1,5,5,468,700,2,3,4,1,4,2,1,2,2,4
"76","GM20",1,7929,21,3,2,2,2,1,3,88.25,30,1,25,64,43.11,3,10,1,4,5,5,5,5,5,400,0,2,2,3,3,4,3,2,2,3,3
"77","GM23",2,13032,35,2,9,5,5,0,4,4.3,10,3,35,49,0.5,1,16,0,4,5,5,5,5,5,90,0,1,2,3,4,3,4,2,2,2,2
"78","GM29",1,7883,21,0,8,4,2,0,4,3.9,12,35,42,49,6.3,3,5,0,5,5,5,5,5,5,0,0,2,4,3,1,4,3,1,3,2,3
"79","GPMP",2,6730,18,0,9,5,5,0,4,5.2,30,4,35,58,2.62,3,7,4,4,5,4,1,5,5,532,1259,1,2,3,3,3,4,3,4,3,3
"80","GR01",2,7088,19,1,9,5,2,0,3,57.3,28,5,30,56,1,1,17,10,5,5,4,5,5,5,0,651,2,2,3,3,4,2,4,3,3,3
"81","GS21",2,8406,23,1,8,4,5,0,3,46,30,25,3,56,0.275,1,12,2,4,5,4,4,5,5,611,682,2,2,2,3,2,3,3,4,2,3
"82","HI14",1,7665,21,1,1,3,1,1,3,15,8,2,25,60,21,3,8,8,4,1,1,2,5,4,200,250,2,2,3,3,3,2,2,3,2,4
"83","HL12",2,7101,19,2,1,5,4,1,2,104.75,5,4,44,51,1.3,1,3,2,5,5,2,4,5,5,0,574,2,2,3,2,2,4,1,2,1,3
"84","HM20",2,8438,23,2,3,3,1,1,2,3,7,0,25,63,58,3,9,1,5,5,1,1,5,5,0,350,1,1,2,3,4,1,3,4,2,4
"85","HS24",2,10086,27,1,1,4,4,0,1,NA,28,10,21,49,58,3,30,2,4,5,4,5,5,5,303,115,1,2,4,4,4,3,1,2,1,2
"86","HZ05",2,8552,23,3,1,3,3,1,3,18.5,20,10,30,60,15.7,3,12,2,4,1,3,3,5,5,642,679,2,1,2,3,3,2,2,3,2,3
"87","IC10",2,6984,19,0,1,2,2,1,4,16.65,75.5,34,15.5,53,25.4,NA,5,0,4,1,4,2,5,5,39,314,2,2,3,2,3,2,2,3,1,2
"88","IG15",2,12341,33,8,9,3,4,0,4,50.55,4,7,48,42,14.96,3,10,0,3,3,3,4,5,5,2051,211,3,3,3,2,1,4,3,3,4,3
"89","II15",2,7221,19,2,1,3,5,1,1,NA,50,2,50,50,NA,3,17,4,4,4,4,2,5,5,208,348,1,3,3,2,4,1,4,4,4,3
"90","ISS2",2,8760,24,2,5,4,5,1,4,45.2,10,4,23,NA,107,3,12,0,5,5,1,5,5,5,0,122,3,2,3,1,3,3,2,3,2,1
"91","JA07",2,6931,18,1,9,5,5,0,4,33,20,5,35,56,2.9,3,4,7,4,4,4,4,5,5,41,70,1,4,2,1,3,3,2,2,2,4
"92","JC30",2,8395,23,2,7,5,5,1,1,55,10,0,116,42,51,3,15,12,4,5,3,1,5,5,1006,298,1,1,2,1,3,2,1,3,3,3
"93","JE27",2,7032,19,3,1,5,5,1,1,3.25,44,1,31,65,NA,3,4,2,4,4,3,5,5,5,112,603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","JG29",2,7395,20,4,9,5,5,0,4,10,38,5,65,60,0.75,1,6,2,5,5,5,4,5,5,0,0,2,3,4,1,1,3,2,2,3,4
"95","JI20",2,7259,19,1,1,NA,1,1,1,0,6,2,22,55,10,3,8,4,5,2,4,2,5,4,0,335,3,4,1,1,4,2,2,2,3,4
"96","JL01",1,6937,18,1,1,3,5,1,4,31.2,12,2,26,63,8.6,4,10,4,4,5,3,2,5,5,324,356,2,3,3,3,4,2,1,2,2,4
"97","JL02",2,7300,20,1,9,2,2,0,4,35.55,4,2,20,8,NA,3,4,14,4,5,4,4,5,5,1193,450,2,1,2,2,2,3,4,4,3,3
"98","JL18",1,7665,21,1,1,3,5,1,4,33,15,1,18,59,9,4,12,4,4,5,2,2,5,5,810,405,2,3,3,3,4,3,3,2,2,3
"99","JM04",1,8789,24,2,1,2,2,1,3,53.35,36,3,5,56,8,3,6,0,5,5,5,5,5,5,0,0,2,2,3,4,3,2,2,1,1,2
"100","JM22",2,7153,19,2,1,3,4,1,1,10,10.5,0.5,6,40,30,3,15,10,5,5,3,5,5,5,0,300,2,3,3,2,4,3,1,3,2,2
"101","JM76",2,15928,43,1,1,4,5,0,2,9.8,6,12,30,63,3,1,17,3,3,5,3,5,5,5,198,101,1,3,4,2,4,3,3,3,2,2
"102","JN24",1,7492,20,1,1,5,5,1,4,38.15,20,6,30,49,23,3,7,0,4,NA,NA,NA,NA,NA,307,280,1,2,3,3,4,2,2,1,2,3
"103","JPC2",1,7799,21,1,6,2,2,0,3,47,30,10,25,45,95.89,3,5,3,4,4,4,4,4,4,298,310,1,2,1,2,4,2,2,2,2,1
"104","JS17",1,6987,19,1,1,5,5,1,3,6.2,20,3,20,45,15,3,22,4,5,5,4,3,5,5,0,210,1,1,3,2,3,3,2,2,1,3
"105","JS28",1,7700,21,0,3,5,2,0,4,0.3,11,5,20,56,29.34,3,8,1,4,5,4,2,5,5,483,235,2,1,3,2,4,1,2,3,3,3
"106","JS98",2,7861,21,1,6,4,2,0,1,36.55,50,2,50,56,700,1,12,7,3,6,5,5,6,6,180,305,1,3,3,4,3,3,2,4,3,3
"107","KE18",2,7248,20,3,3,2,5,1,1,2.65,5,3,30,42,57,3,10,0,5,5,1,3,5,5,0,55,1,1,2,1,4,1,3,2,3,4
"108","KF05",1,8029,21,1,5,2,2,0,4,44.1,30,5,30,56,0.3,1,25,10,5,4,3,1,5,5,0,789,1,3,4,3,3,3,1,1,2,3
"109","KS28",2,6757,18,2,1,3,2,1,4,1.1,3,3.3,30,53,23.2,3,8,1,5,5,4,1,5,5,0,275,2,2,3,3,4,3,1,2,1,4
"110","LA13",1,7046,19,1,1,4,2,1,1,0.4,40,3,20,40,1.6,2,6,4,4,5,4,4,5,5,30,55,3,2,4,4,2,1,3,1,3,3
"111","LA21",2,7197,19,1,1,3,2,1,4,3.3,8,5,20,50,14,3,6,4,4,5,3,2,5,5,245,445,3,3,4,3,3,2,2,3,2,3
"112","LB12",2,7685,21,1,NA,4,4,0,4,80.55,58,28,40,49,3,3,6,2,5,5,4,4,5,5,0,513,3,4,3,2,3,4,11,2,2,3
"113","LC04",2,8273,22,1,2,5,2,0,2,7.6,30,10,16,56,13.63,3,9,2,4,5,4,5,5,5,387,100,1,1,2,3,3,3,4,3,3,4
"114","LC27",2,7817,21,3,2,2,2,1,2,NA,21,3,25,49,46,3,14,8,4,5,4,4,5,5,345,394,1,2,2,3,4,2,3,4,2,2
"115","LG23",2,8680,23,2,6,5,2,0,4,37.1,20,5,45,55,1.4,3,12,2,5,5,5,5,5,5,0,0,1,2,4,3,3,4,2,2,2,3
"116","LM26",2,7794,21,3,3,2,4,1,4,22.3,7,2,10,56,41,3,8,4,5,5,3,4,5,5,0,456,1,1,4,1,3,1,1,3,2,3
"117","LM78",2,15024,42,1,4,3,1,0,3,26,10,7,23,46,16,3,12,6,3,5,4,5,5,5,370,100,3,1,4,3,4,3,2,4,2,2
"118","LO12",2,6682,18,3,9,2,2,0,4,140,11,7.5,16,50,3,3,15,4,4,5,4,3,5,5,277,966,2,2,3,2,3,3,1,3,2,3
"119","LP01",1,7119,19,1,5,5,5,1,2,11.5,14,3.5,21,49,107,3,10,0,4,3,4,2,5,5,678,701,2,3,3,2,3,3,2,2,2,3
"120","LS22",2,7897,21,2,3,5,5,1,4,20.35,40,6,40,56,55,4,17,6,5,5,5,2,5,5,0,0,2,4,3,1,2,3,3,2,2,4
"121","MA01",2,8099,22,3,1,1,1,1,1,26.25,50,3,20,52.5,20.84,3,10,2,4,1,1,1,5,2,426,474,2,1,3,3,4,2,2,4,2,3
"122","MA08",1,7904,21,2,1,5,4,1,3,13.5,6,3,15,50,15.7,3,15,4,5,5,4,2,5,5,0,528,3,2,4,2,4,3,2,2,2,4
"123","MA09",2,7330,20,1,9,5,5,0,4,53.25,10,3,52,56,3.5,3,16,6,4,5,4,5,5,5,38,125,3,2,3,2,4,3,2,2,1,3
"124","MA30",1,7579,20,2,8,5,4,0,1,3.35,35,5,14,42,322,3,11,2,4,5,3,2,5,5,855,417,2,1,2,2,3,3,2,4,3,3
"125","MA31",1,7665,21,2,1,4,5,1,3,3.15,28,1,21,49,1.1,1,18,2,4,5,4,4,5,5,663,538,2,2,3,2,3,3,4,4,4,3
"126","MC08",2,8092,22,2,1,1,1,1,2,33.6,12,5,27,47,4,3,8,2,4,5,4,4,5,5,0,0,3,4,3,2,3,1,4,3,3,2
"127","MC13",2,7168,19,1,3,5,2,1,1,33.5,5,1,10,50,48,3,8,2,4,5,4,4,5,5,80,296,2,1,3,4,4,4,1,1,1,1
"128","MC20",NA,7313,20,0,1,4,2,1,3,0.05,100,3,12,53,8,3,7,0,1,1,5,5,5,5,118,0,1,3,3,1,3,2,2,4,4,3
"129","MD17",2,7432,20,1,2,2,2,0,1,22.25,28,6,26,44,53,1,12,11,4,4,3,4,5,5,377,869,2,1,3,2,4,3,3,4,4,4
"130","MI24",2,12666,34,2,6,2,2,0,4,32.1,26,8,30,56,43,3,13,0,5,5,3,5,5,5,0,5049,1,1,1,4,4,1,1,4,1,1
"131","MJ02",1,7582,20,1,3,2,5,1,2,21.8,56,14,42,56,29.67,3,9,2,4,4,3,3,5,5,197,187,2,3,2,3,3,1,2,2,2,3
"132","MJ25",2,7879,21,2,3,4,2,1,2,36.5,25,2,25,49,73,3,12,4,4,5,4,4,5,5,417,424,1,4,4,3,4,3,1,3,2,3
"133","MK03",2,8395,23,2,5,3,5,0,1,0,10,0,116,42,27,3,20,12,5,5,5,1,5,5,0,0,1,1,1,1,1,1,4,4,1,1
