"","id","sexe","age_day","age_year","fratrie","canton_residence","formation_m","formation_p","habitat","filiere","liquide","loisirs","taches_domestiques","etudes","sommeil","distance","mobilite","pays","avion","frequence_facebook","frequence_twitter","frequence_instagram","frequence_snapchat","frequence_jodel","frequence_tiktok","reseau_facebook","reseau_instagram","opinion_algorithmes","opinion_queer","opinion_quotas","opinion_desobeissance","opinion_vols","opinion_logiciele","opinion_laffinite","opinion_crainte","opinion_comparison","opinion_questionnaire"
"169","PM05",NA,7728,21,3,1,3,1,1,3,30,12,3,19,52,1.8,3,11,6,5,4,5,1,5,5,0,0,3,2,3,2,4,3,2,2,2,3
"170","PM06",2,7997,21,1,9,1,5,0,2,193.6,15,10,21,50,1,1,8,4,4,5,1,4,5,5,414,939,1,2,4,2,4,2,2,4,3,4
"171","PM27",2,7191,19,2,1,2,4,1,2,0,10,2,35,50,11,3,16,2,4,4,3,1,5,5,262,491,1,2,2,2,4,2,3,4,3,4
"172","PN26",2,7216,19,1,6,3,3,1,4,7,15,2,15,56,171,1,10,4,4,1,4,4,5,5,475,1213,3,1,2,1,3,1,2,3,3,4
"173","PS25",1,7458,20,2,1,2,4,1,2,800,12,8,20,60,23.6,3,8,0,4,5,4,4,5,5,369,338,3,3,3,3,3,3,1,2,2,4
"174","PT23",2,7067,19,1,8,5,5,0,3,67,20,14,25,56,0.29,1,10,9,2,5,1,5,5,5,363,368,3,4,4,1,3,2,2,2.5,1,3
"175","PV06",1,7384,20,0,3,5,4,1,2,0.3,14,8,13.5,53,57.13,3,17,3,4,4,4,3,5,5,200,420,2,3,3,2,3,1,3,3,2,3
"176","R2D2",1,7205,19,1,1,5,5,1,3,0.2,72,16,20,60,11,3,10,0,5,5,5,5,5,5,0,0,1,4,4,3,4,4,1,2,4,3
"177","RI02",2,686838,19,3,1,2,4,1,4,30,3,1,14,51,17,3,4,2,5,5,5,5,5,5,0,0,2,4,3,1,3,2,4,4,3,3
"178","rj16",1,8125,22,2,9,1,4,1,3,0.35,25,3.5,25,49,16,3,15,2,4,5,4,5,5,5,231,246,3,3,4,2,4,3,1,1,1,3
"179","RM07",1,8090,23,2,6,2,2,0,3,30.6,6,3,18,70,0.5,1,7,0,5,5,5,5,5,5,0,0,2,2,1,1,4,4,2,1,2,4
"180","RM28",2,8551,18,2,9,2,1,0,4,10,8,10,55,58,2,1,5,4,4,5,5,3,5,5,160,0,2,3,3,2,2,3,2,4,3,3
"181","RN13",2,9855,27,1,5,2,2,0,1,0.15,15,8,30,54,110,3,23,14,4,5,4,4,5,5,970,638,1,4,4,3,3,2,4,3,2,2
"182","Sa 0",1,9642,26,1,1,4,3,0,3,527.2,30,3,20,50,6.8,3,16,8,4,5,4,4,5,5,1180,669,1,2,2,2,4,3,1,2,3,3
"183","SA10",2,8182,22,2,6,5,5,0,4,71.85,5,1.5,10,60,1,3,8,2,4,3,3,1,5,5,577,815,1,2,4,1,4,4,3,2,2,1
